Run,Method,Correctly Identified Poison,Fraction Correct (Poison),Total Poison
50,CBLOF,225,0.10250569476082004,2195
51,ISO,731,0.33212176283507494,2201
51,ABOD,409,0.1858246251703771,2201
51,CBLOF,257,0.11676510676965016,2201
52,ISO,760,0.34798534798534797,2184
52,ABOD,392,0.1794871794871795,2184
52,CBLOF,225,0.10302197802197802,2184
53,ISO,789,0.3581479800272356,2203
53,ABOD,389,0.17657739446209714,2203
53,CBLOF,235,0.10667271901951884,2203
54,ISO,735,0.33731069297843047,2179
54,ABOD,401,0.18402937127122534,2179
54,CBLOF,240,0.1101422670949977,2179
55,ISO,813,0.3708941605839416,2192
55,ABOD,403,0.18385036496350365,2192
55,CBLOF,248,0.11313868613138686,2192
56,ISO,697,0.31884720951509604,2186
56,ABOD,381,0.17429094236047576,2186
56,CBLOF,214,0.09789569990850869,2186
57,ISO,737,0.33439201451905626,2204
57,ABOD,370,0.16787658802177857,2204
57,CBLOF,219,0.09936479128856625,2204
58,ISO,770,0.35191956124314444,2188
58,ABOD,351,0.16042047531992687,2188
58,CBLOF,205,0.09369287020109689,2188
59,ISO,662,0.3018695850433197,2193
59,ABOD,379,0.17282261741906066,2193
59,CBLOF,229,0.10442316461468308,2193
60,ISO,846,0.38524590163934425,2196
60,ABOD,353,0.16074681238615665,2196
60,CBLOF,204,0.09289617486338798,2196
61,ISO,703,0.3179556761646314,2211
61,ABOD,383,0.17322478516508366,2211
61,CBLOF,243,0.10990502035278155,2211
62,ISO,842,0.3825533848250795,2201
62,ABOD,396,0.17991821899136756,2201
62,CBLOF,251,0.11403907314856883,2201
63,ISO,743,0.33788085493406095,2199
63,ABOD,376,0.1709868121873579,2199
63,CBLOF,226,0.10277398817644384,2199
64,ISO,608,0.2773722627737226,2192
64,ABOD,361,0.1646897810218978,2192
64,CBLOF,220,0.10036496350364964,2192
65,ISO,813,0.3703872437357631,2195
65,ABOD,394,0.179498861047836,2195
65,CBLOF,248,0.11298405466970388,2195
66,ISO,757,0.34582000913659205,2189
66,ABOD,367,0.1676564641388762,2189
66,CBLOF,229,0.10461397898583828,2189
67,ISO,781,0.35711019661636945,2187
67,ABOD,372,0.1700960219478738,2187
67,CBLOF,222,0.10150891632373114,2187
68,ISO,715,0.3252957233848954,2198
68,ABOD,393,0.17879890809827115,2198
68,CBLOF,213,0.09690627843494086,2198
69,ISO,727,0.33166058394160586,2192
69,ABOD,369,0.16833941605839417,2192
69,CBLOF,221,0.10082116788321167,2192
70,ISO,868,0.39329406434073405,2207
70,ABOD,389,0.17625736293611238,2207
70,CBLOF,217,0.09832351608518351,2207
71,ISO,801,0.3665903890160183,2185
71,ABOD,376,0.17208237986270022,2185
71,CBLOF,236,0.1080091533180778,2185
72,ISO,767,0.3495897903372835,2194
72,ABOD,370,0.16864175022789427,2194
72,CBLOF,228,0.10391978122151321,2194
73,ISO,743,0.3380345768880801,2198
73,ABOD,363,0.1651501364877161,2198
73,CBLOF,210,0.09554140127388536,2198
74,ISO,721,0.32713248638838477,2204
74,ABOD,396,0.17967332123411978,2204
74,CBLOF,237,0.1075317604355717,2204
75,ISO,804,0.3664539653600729,2194
75,ABOD,383,0.17456700091157704,2194
75,CBLOF,222,0.10118505013673655,2194
76,ISO,830,0.37624660018132366,2206
76,ABOD,405,0.18359020852221214,2206
76,CBLOF,226,0.10244786944696282,2206
77,ISO,784,0.358974358974359,2184
77,ABOD,400,0.18315018315018314,2184
77,CBLOF,212,0.09706959706959707,2184
78,ISO,760,0.3459262630860264,2197
78,ABOD,393,0.17888029130632682,2197
78,CBLOF,245,0.11151570323167956,2197
79,ISO,788,0.35769405356332273,2203
79,ABOD,398,0.18066273263731275,2203
79,CBLOF,248,0.11257376305038584,2203
80,ISO,814,0.37305224564619616,2182
80,ABOD,402,0.1842346471127406,2182
80,CBLOF,237,0.10861594867094408,2182
81,ISO,864,0.392192464820699,2203
81,ABOD,388,0.1761234679981843,2203
81,CBLOF,253,0.11484339536995007,2203
82,ISO,827,0.37659380692167577,2196
82,ABOD,417,0.18989071038251365,2196
82,CBLOF,255,0.11612021857923498,2196
83,ISO,661,0.3011389521640091,2195
83,ABOD,426,0.19407744874715263,2195
83,CBLOF,250,0.11389521640091116,2195
84,ISO,748,0.3403093721565059,2198
84,ABOD,395,0.1797088262056415,2198
84,CBLOF,233,0.10600545950864422,2198
85,ISO,774,0.3524590163934426,2196
85,ABOD,387,0.1762295081967213,2196
85,CBLOF,220,0.10018214936247723,2196
86,ISO,896,0.40764331210191085,2198
86,ABOD,362,0.16469517743403095,2198
86,CBLOF,236,0.10737033666969972,2198
87,ISO,722,0.32968036529680367,2190
87,ABOD,364,0.16621004566210046,2190
87,CBLOF,214,0.09771689497716896,2190
88,ISO,717,0.32635411925352753,2197
88,ABOD,399,0.18161128812016386,2197
88,CBLOF,246,0.11197086936731906,2197
89,ISO,825,0.3768844221105528,2189
89,ABOD,390,0.17816354499771586,2189
89,CBLOF,232,0.10598446779351302,2189
90,ISO,784,0.3571753986332574,2195
90,ABOD,398,0.18132118451025056,2195
90,CBLOF,247,0.11252847380410023,2195
91,ISO,871,0.39644970414201186,2197
91,ABOD,402,0.18297678652708238,2197
91,CBLOF,231,0.10514337733272644,2197
92,ISO,784,0.35766423357664234,2192
92,ABOD,371,0.16925182481751824,2192
92,CBLOF,230,0.10492700729927007,2192
93,ISO,793,0.35996368588288696,2203
93,ABOD,380,0.17249205628688152,2203
93,CBLOF,220,0.09986382206082614,2203
94,ISO,802,0.3658759124087591,2192
94,ABOD,378,0.17244525547445255,2192
94,CBLOF,239,0.10903284671532847,2192
95,ISO,788,0.3588342440801457,2196
95,ABOD,398,0.18123861566484517,2196
95,CBLOF,247,0.11247723132969034,2196
96,ISO,727,0.3301544050862852,2202
96,ABOD,394,0.17892824704813806,2202
96,CBLOF,237,0.10762942779291552,2202
97,ISO,670,0.30510018214936246,2196
