Run,Method,Correctly Identified Poison,Fraction Correct (Poison),Total Poison
62,ABOD,65,0.325,200
62,CBLOF,46,0.23,200
63,ISO,75,0.375,200
63,ABOD,70,0.35,200
63,CBLOF,45,0.225,200
64,ISO,84,0.42,200
64,ABOD,67,0.335,200
64,CBLOF,56,0.28,200
65,ISO,88,0.44,200
65,ABOD,65,0.325,200
65,CBLOF,50,0.25,200
66,ISO,80,0.4,200
66,ABOD,69,0.345,200
66,CBLOF,49,0.245,200
67,ISO,82,0.41,200
67,ABOD,69,0.345,200
67,CBLOF,51,0.255,200
68,ISO,83,0.415,200
68,ABOD,59,0.295,200
68,CBLOF,45,0.225,200
69,ISO,71,0.355,200
69,ABOD,58,0.29,200
69,CBLOF,48,0.24,200
70,ISO,81,0.405,200
70,ABOD,77,0.385,200
70,CBLOF,59,0.295,200
71,ISO,81,0.405,200
71,ABOD,70,0.35,200
71,CBLOF,53,0.265,200
72,ISO,87,0.435,200
72,ABOD,75,0.375,200
72,CBLOF,59,0.295,200
73,ISO,86,0.43,200
73,ABOD,65,0.325,200
73,CBLOF,52,0.26,200
74,ISO,89,0.445,200
74,ABOD,58,0.29,200
74,CBLOF,57,0.285,200
75,ISO,67,0.335,200
75,ABOD,62,0.31,200
75,CBLOF,49,0.245,200
76,ISO,80,0.4,200
76,ABOD,63,0.315,200
76,CBLOF,50,0.25,200
77,ISO,75,0.375,200
77,ABOD,66,0.33,200
77,CBLOF,58,0.29,200
78,ISO,71,0.355,200
78,ABOD,62,0.31,200
78,CBLOF,46,0.23,200
79,ISO,73,0.365,200
79,ABOD,63,0.315,200
79,CBLOF,53,0.265,200
80,ISO,78,0.39,200
80,ABOD,65,0.325,200
80,CBLOF,58,0.29,200
81,ISO,83,0.415,200
81,ABOD,65,0.325,200
81,CBLOF,51,0.255,200
82,ISO,98,0.49,200
82,ABOD,63,0.315,200
82,CBLOF,54,0.27,200
83,ISO,78,0.39,200
83,ABOD,69,0.345,200
83,CBLOF,53,0.265,200
84,ISO,81,0.405,200
84,ABOD,69,0.345,200
84,CBLOF,53,0.265,200
85,ISO,75,0.375,200
85,ABOD,57,0.285,200
85,CBLOF,56,0.28,200
86,ISO,92,0.46,200
86,ABOD,65,0.325,200
86,CBLOF,53,0.265,200
87,ISO,84,0.42,200
87,ABOD,70,0.35,200
87,CBLOF,51,0.255,200
88,ISO,62,0.31,200
88,ABOD,58,0.29,200
88,CBLOF,42,0.21,200
89,ISO,69,0.345,200
89,ABOD,70,0.35,200
89,CBLOF,52,0.26,200
90,ISO,83,0.415,200
90,ABOD,68,0.34,200
90,CBLOF,55,0.275,200
91,ISO,81,0.405,200
91,ABOD,59,0.295,200
91,CBLOF,56,0.28,200
92,ISO,99,0.495,200
92,ABOD,70,0.35,200
92,CBLOF,49,0.245,200
93,ISO,75,0.375,200
93,ABOD,66,0.33,200
93,CBLOF,53,0.265,200
94,ISO,85,0.425,200
94,ABOD,61,0.305,200
94,CBLOF,55,0.275,200
95,ISO,73,0.365,200
95,ABOD,61,0.305,200
95,CBLOF,50,0.25,200
96,ISO,71,0.355,200
96,ABOD,66,0.33,200
96,CBLOF,61,0.305,200
97,ISO,67,0.335,200
97,ABOD,66,0.33,200
97,CBLOF,53,0.265,200
98,ISO,86,0.43,200
98,ABOD,66,0.33,200
98,CBLOF,59,0.295,200
99,ISO,57,0.285,200
99,ABOD,66,0.33,200
99,CBLOF,51,0.255,200
100,ISO,69,0.345,200
100,ABOD,68,0.34,200
100,CBLOF,53,0.265,200
